"race_eth","counts","percent","rates","percent_pop"
"African American","50","3.07882","105.32303","2.36"
"Asian","388","23.89163","59.21811","35.65"
"Latino","459","28.26355","83.92452","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.55419","127.49681","0.32"
"White","524","32.26601","78.16264","32.04"
"Other","93","5.7266",,"3.85"
"Unknown","101","6.21921",,
