"race_eth","counts","percent","rates","percent_pop"
"African American","36","3.50195","75.83258","2.36"
"Asian","251","24.41634","38.30862","35.65"
"Latino","302","29.37743","55.21831","25.78"
"Native Hawaiian & Other Pacific Islander","7","0.68093","99.16419","0.32"
"White","350","34.04669","52.20787","32.04"
"Other","49","4.76654",,"3.85"
"Unknown","33","3.21012",,
