"race_eth","counts","percent","rates","percent_pop"
"African American","16","4.08163","33.70337","2.36"
"Asian","95","24.23469","14.49928","35.65"
"Latino","149","38.0102","27.24347","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.5102","28.33263","0.32"
"White","115","29.33673","17.15401","32.04"
"Other","8","2.04082",,"3.85"
"Unknown","7","1.78571",,
