"race_eth","counts","percent","rates","percent_pop"
"African American","55","2.68293","121.52279","2.4"
"Asian","442","21.56098","63.20697","37.7"
"Latino","641","31.26829","130.55575","26.5"
"Native Hawaiian & Other Pacific Islander","8","0.39024","128.43153","0.3"
"White","596","29.07317","98.04196","32.8"
"Other","164","8","2979.1099","0.3"
"Unknown","144","7.02439",,
