"race_eth","counts","percent","rates","percent_pop"
"African American","11","4.3","23.2","2.36"
"Asian","66","26.1","10.1","35.65"
"Latino","85","33.6","15.5","25.78"
"Native Hawaiian & Other Pacific Islander","1","0.4","14.2","0.32"
"White","78","30.8","11.6","32.04"
"Other","8","3.2",,"3.85"
"Unknown","4","1.6",,
