"geo_id","city","cases","population","rate"
"610345","Campbell","1507","42470","3548"
"617610","Cupertino","645","60614","1064"
"629504","Gilroy","5743","55525","10343"
"643280","Los Altos","493","30588","1612"
"643294","Los Altos Hills","159","8517","1867"
"644112","Los Gatos","840","30922","2717"
"647766","Milpitas","2601","77457","3358"
"648956","Monte Sereno","63","3492","1804"
"649278","Morgan Hill","2627","43876","5987"
"649670","Mountain View","2173","80993","2683"
"0","Other/Unknown","3639","0",
"655282","Palo Alto","1023","67019","1526"
"668000","San Jose","57444","1026658","5595"
"669084","Santa Clara","3761","126209","2980"
"670280","Saratoga","449","30886","1454"
"677000","Sunnyvale","3878","152323","2546"
