"geo_id","city","cases","population","rate"
"610345","Campbell","232","42470","546"
"617610","Cupertino","85","60614","140"
"629504","Gilroy","818","55525","1473"
"643280","Los Altos","80","30588","262"
"643294","Los Altos Hills","21","8517","247"
"644112","Los Gatos","90","30922","291"
"647766","Milpitas","329","77457","425"
"648956","Monte Sereno","16","3492","458"
"649278","Morgan Hill","352","43876","802"
"649670","Mountain View","278","80993","343"
"0","Other/Unknown","642","0",
"655282","Palo Alto","182","67019","272"
"668000","San Jose","8652","1026658","843"
"669084","Santa Clara","630","126209","499"
"670280","Saratoga","61","30886","198"
"677000","Sunnyvale","591","152323","388"
