"geo_id","city","cases","population","rate"
"610345","Campbell","2599","42470","6120"
"617610","Cupertino","1139","60614","1879"
"629504","Gilroy","8461","55525","15238"
"643280","Los Altos","828","30588","2707"
"643294","Los Altos Hills","278","8517","3264"
"644112","Los Gatos","1546","30922","5000"
"647766","Milpitas","4264","77457","5505"
"648956","Monte Sereno","124","3492","3551"
"649278","Morgan Hill","4414","43876","10060"
"649670","Mountain View","3608","80993","4455"
"0","Other/Unknown","4633","0",
"655282","Palo Alto","1907","67019","2845"
"668000","San Jose","89701","1026658","8737"
"669084","Santa Clara","6648","126209","5267"
"670280","Saratoga","810","30886","2623"
"677000","Sunnyvale","6622","152323","4347"
