"geo_id","city","cases","population","rate"
"610345","Campbell","247","42470","582"
"617610","Cupertino","89","60614","147"
"629504","Gilroy","873","55525","1572"
"643280","Los Altos","81","30588","265"
"643294","Los Altos Hills","22","8517","258"
"644112","Los Gatos","103","30922","333"
"647766","Milpitas","352","77457","454"
"648956","Monte Sereno","17","3492","487"
"649278","Morgan Hill","391","43876","891"
"649670","Mountain View","297","80993","367"
"0","Other/Unknown","669","0",
"655282","Palo Alto","187","67019","279"
"668000","San Jose","9170","1026658","893"
"669084","Santa Clara","668","126209","529"
"670280","Saratoga","64","30886","207"
"677000","Sunnyvale","626","152323","411"
