"geo_id","city","cases","population","rate"
"610345","Campbell","499","42470","1175"
"617610","Cupertino","180","60614","297"
"629504","Gilroy","1975","55525","3557"
"643280","Los Altos","160","30588","523"
"643294","Los Altos Hills","49","8517","575"
"644112","Los Gatos","236","30922","763"
"647766","Milpitas","752","77457","971"
"648956","Monte Sereno","27","3492","773"
"649278","Morgan Hill","815","43876","1858"
"649670","Mountain View","733","80993","905"
"0","Other/Unknown","1062","0",
"655282","Palo Alto","372","67019","555"
"668000","San Jose","18738","1026658","1825"
"669084","Santa Clara","1321","126209","1047"
"670280","Saratoga","163","30886","528"
"677000","Sunnyvale","1225","152323","804"
