"geo_id","city","cases","population","rate"
"610345","Campbell","967","42470","2277"
"617610","Cupertino","342","60614","564"
"629504","Gilroy","3755","55525","6763"
"643280","Los Altos","326","30588","1066"
"643294","Los Altos Hills","87","8517","1021"
"644112","Los Gatos","518","30922","1675"
"647766","Milpitas","1506","77457","1944"
"648956","Monte Sereno","42","3492","1203"
"649278","Morgan Hill","1618","43876","3688"
"649670","Mountain View","1403","80993","1732"
"0","Other/Unknown","2392","0",
"655282","Palo Alto","651","67019","971"
"668000","San Jose","35443","1026658","3452"
"669084","Santa Clara","2323","126209","1841"
"670280","Saratoga","265","30886","858"
"677000","Sunnyvale","2247","152323","1475"
