"geo_id","city","cases","population","rate"
"610345","Campbell","2750","42470","6475"
"617610","Cupertino","1261","60614","2080"
"629504","Gilroy","8850","55525","15939"
"643280","Los Altos","907","30588","2965"
"643294","Los Altos Hills","302","8517","3546"
"644112","Los Gatos","1683","30922","5443"
"647766","Milpitas","4497","77457","5806"
"648956","Monte Sereno","131","3492","3751"
"649278","Morgan Hill","4730","43876","10780"
"649670","Mountain View","3786","80993","4674"
"0","Other/Unknown","4840","0",
"655282","Palo Alto","2045","67019","3051"
"668000","San Jose","94739","1026658","9228"
"669084","Santa Clara","7099","126209","5625"
"670280","Saratoga","886","30886","2869"
"677000","Sunnyvale","7057","152323","4633"
