"geo_id","city","cases","population","rate"
"610345","Campbell","1047","42470","2465"
"617610","Cupertino","385","60614","635"
"629504","Gilroy","4140","55525","7456"
"643280","Los Altos","350","30588","1144"
"643294","Los Altos Hills","94","8517","1104"
"644112","Los Gatos","576","30922","1863"
"647766","Milpitas","1666","77457","2151"
"648956","Monte Sereno","52","3492","1489"
"649278","Morgan Hill","1808","43876","4121"
"649670","Mountain View","1516","80993","1872"
"0","Other/Unknown","2674","0",
"655282","Palo Alto","727","67019","1085"
"668000","San Jose","39456","1026658","3843"
"669084","Santa Clara","2553","126209","2023"
"670280","Saratoga","316","30886","1023"
"677000","Sunnyvale","2563","152323","1683"
