"geo_id","city","cases","population","rate"
"610345","Campbell","1557","42470","3666"
"617610","Cupertino","664","60614","1095"
"629504","Gilroy","5943","55525","10703"
"643280","Los Altos","510","30588","1667"
"643294","Los Altos Hills","163","8517","1914"
"644112","Los Gatos","865","30922","2797"
"647766","Milpitas","2685","77457","3466"
"648956","Monte Sereno","65","3492","1861"
"649278","Morgan Hill","2728","43876","6218"
"649670","Mountain View","2254","80993","2783"
"0","Other/Unknown","3780","0",
"655282","Palo Alto","1073","67019","1601"
"668000","San Jose","59318","1026658","5778"
"669084","Santa Clara","3893","126209","3085"
"670280","Saratoga","458","30886","1483"
"677000","Sunnyvale","4027","152323","2644"
