"geo_id","city","cases","population","rate"
"610345","Campbell","1838","42470","4328"
"617610","Cupertino","772","60614","1274"
"629504","Gilroy","6923","55525","12468"
"643280","Los Altos","597","30588","1952"
"643294","Los Altos Hills","180","8517","2113"
"644112","Los Gatos","1026","30922","3318"
"647766","Milpitas","3166","77457","4087"
"648956","Monte Sereno","74","3492","2119"
"649278","Morgan Hill","3183","43876","7255"
"649670","Mountain View","2655","80993","3278"
"0","Other/Unknown","4146","0",
"655282","Palo Alto","1320","67019","1970"
"668000","San Jose","69446","1026658","6764"
"669084","Santa Clara","4670","126209","3700"
"670280","Saratoga","545","30886","1765"
"677000","Sunnyvale","4845","152323","3181"
