"geo_id","city","cases","population","rate"
"610345","Campbell","1496","42470","3522"
"617610","Cupertino","637","60614","1051"
"629504","Gilroy","5694","55525","10255"
"643280","Los Altos","488","30588","1595"
"643294","Los Altos Hills","158","8517","1855"
"644112","Los Gatos","832","30922","2691"
"647766","Milpitas","2549","77457","3291"
"648956","Monte Sereno","62","3492","1775"
"649278","Morgan Hill","2605","43876","5937"
"649670","Mountain View","2137","80993","2638"
"0","Other/Unknown","3576","0",
"655282","Palo Alto","1015","67019","1514"
"668000","San Jose","56710","1026658","5524"
"669084","Santa Clara","3702","126209","2933"
"670280","Saratoga","445","30886","1441"
"677000","Sunnyvale","3823","152323","2510"
