"geo_id","city","cases","population","rate"
"610345","Campbell","2457","42470","5785"
"617610","Cupertino","1091","60614","1800"
"629504","Gilroy","8177","55525","14727"
"643280","Los Altos","791","30588","2586"
"643294","Los Altos Hills","270","8517","3170"
"644112","Los Gatos","1450","30922","4689"
"647766","Milpitas","4102","77457","5296"
"648956","Monte Sereno","116","3492","3322"
"649278","Morgan Hill","4160","43876","9481"
"649670","Mountain View","3458","80993","4270"
"0","Other/Unknown","4499","0",
"655282","Palo Alto","1821","67019","2717"
"668000","San Jose","86170","1026658","8393"
"669084","Santa Clara","6322","126209","5009"
"670280","Saratoga","759","30886","2457"
"677000","Sunnyvale","6298","152323","4135"
