"geo_id","city","cases","population","rate"
"610345","Campbell","223","42470","525"
"617610","Cupertino","85","60614","140"
"629504","Gilroy","804","55525","1448"
"643280","Los Altos","79","30588","258"
"643294","Los Altos Hills","21","8517","247"
"644112","Los Gatos","88","30922","285"
"647766","Milpitas","317","77457","409"
"648956","Monte Sereno","16","3492","458"
"649278","Morgan Hill","341","43876","777"
"649670","Mountain View","267","80993","330"
"0","Other/Unknown","639","0",
"655282","Palo Alto","181","67019","270"
"668000","San Jose","8377","1026658","816"
"669084","Santa Clara","615","126209","487"
"670280","Saratoga","61","30886","198"
"677000","Sunnyvale","580","152323","381"
