"geo_id","city","cases","population","rate"
"610345","Campbell","1933","42470","4551"
"617610","Cupertino","823","60614","1358"
"629504","Gilroy","7372","55525","13277"
"643280","Los Altos","643","30588","2102"
"643294","Los Altos Hills","212","8517","2489"
"644112","Los Gatos","1134","30922","3667"
"647766","Milpitas","3398","77457","4387"
"648956","Monte Sereno","82","3492","2348"
"649278","Morgan Hill","3442","43876","7845"
"649670","Mountain View","2860","80993","3531"
"0","Other/Unknown","4218","0",
"655282","Palo Alto","1398","67019","2086"
"668000","San Jose","74296","1026658","7237"
"669084","Santa Clara","5087","126209","4031"
"670280","Saratoga","597","30886","1933"
"677000","Sunnyvale","5217","152323","3425"
