"geo_id","city","cases","population","rate"
"610345","Campbell","1866","42470","4394"
"617610","Cupertino","796","60614","1313"
"629504","Gilroy","7116","55525","12816"
"643280","Los Altos","618","30588","2020"
"643294","Los Altos Hills","191","8517","2243"
"644112","Los Gatos","1072","30922","3467"
"647766","Milpitas","3274","77457","4227"
"648956","Monte Sereno","76","3492","2176"
"649278","Morgan Hill","3295","43876","7510"
"649670","Mountain View","2747","80993","3392"
"0","Other/Unknown","4182","0",
"655282","Palo Alto","1348","67019","2011"
"668000","San Jose","71261","1026658","6941"
"669084","Santa Clara","4828","126209","3825"
"670280","Saratoga","567","30886","1836"
"677000","Sunnyvale","5018","152323","3294"
