"geo_id","city","cases","population","rate"
"610345","Campbell","1935","42470","4556"
"617610","Cupertino","826","60614","1363"
"629504","Gilroy","7388","55525","13306"
"643280","Los Altos","644","30588","2105"
"643294","Los Altos Hills","213","8517","2501"
"644112","Los Gatos","1140","30922","3687"
"647766","Milpitas","3416","77457","4410"
"648956","Monte Sereno","86","3492","2463"
"649278","Morgan Hill","3456","43876","7877"
"649670","Mountain View","2877","80993","3552"
"0","Other/Unknown","4210","0",
"655282","Palo Alto","1410","67019","2104"
"668000","San Jose","74592","1026658","7266"
"669084","Santa Clara","5129","126209","4064"
"670280","Saratoga","600","30886","1943"
"677000","Sunnyvale","5251","152323","3447"
