"geo_id","city","cases","population","rate"
"610345","Campbell","2932","42470","6904"
"617610","Cupertino","1347","60614","2222"
"629504","Gilroy","9149","55525","16477"
"643280","Los Altos","948","30588","3099"
"643294","Los Altos Hills","317","8517","3722"
"644112","Los Gatos","1804","30922","5834"
"647766","Milpitas","4638","77457","5988"
"648956","Monte Sereno","145","3492","4152"
"649278","Morgan Hill","5015","43876","11430"
"649670","Mountain View","3964","80993","4894"
"0","Other/Unknown","5188","0",
"655282","Palo Alto","2163","67019","3227"
"668000","San Jose","98294","1026658","9574"
"669084","Santa Clara","7432","126209","5889"
"670280","Saratoga","946","30886","3063"
"677000","Sunnyvale","7387","152323","4850"
