"geo_id","city","cases","population","rate"
"610345","Campbell","1655","42470","3897"
"617610","Cupertino","695","60614","1147"
"629504","Gilroy","6313","55525","11370"
"643280","Los Altos","538","30588","1759"
"643294","Los Altos Hills","170","8517","1996"
"644112","Los Gatos","913","30922","2953"
"647766","Milpitas","2856","77457","3687"
"648956","Monte Sereno","70","3492","2005"
"649278","Morgan Hill","2884","43876","6573"
"649670","Mountain View","2392","80993","2953"
"0","Other/Unknown","3928","0",
"655282","Palo Alto","1161","67019","1732"
"668000","San Jose","63334","1026658","6169"
"669084","Santa Clara","4180","126209","3312"
"670280","Saratoga","492","30886","1593"
"677000","Sunnyvale","4355","152323","2859"
