"geo_id","city","cases","population","rate"
"610345","Campbell","481","42470","1133"
"617610","Cupertino","174","60614","287"
"629504","Gilroy","1864","55525","3357"
"643280","Los Altos","156","30588","510"
"643294","Los Altos Hills","46","8517","540"
"644112","Los Gatos","228","30922","737"
"647766","Milpitas","722","77457","932"
"648956","Monte Sereno","24","3492","687"
"649278","Morgan Hill","776","43876","1769"
"649670","Mountain View","705","80993","870"
"0","Other/Unknown","1039","0",
"655282","Palo Alto","358","67019","534"
"668000","San Jose","17935","1026658","1747"
"669084","Santa Clara","1277","126209","1012"
"670280","Saratoga","158","30886","512"
"677000","Sunnyvale","1181","152323","775"
