"geo_id","city","cases","population","rate"
"610345","Campbell","317","42470","746"
"617610","Cupertino","104","60614","172"
"629504","Gilroy","1360","55525","2449"
"643280","Los Altos","111","30588","363"
"643294","Los Altos Hills","30","8517","352"
"644112","Los Gatos","160","30922","517"
"647766","Milpitas","494","77457","638"
"648956","Monte Sereno","19","3492","544"
"649278","Morgan Hill","560","43876","1276"
"649670","Mountain View","520","80993","642"
"0","Other/Unknown","804","0",
"655282","Palo Alto","259","67019","386"
"668000","San Jose","12803","1026658","1247"
"669084","Santa Clara","901","126209","714"
"670280","Saratoga","104","30886","337"
"677000","Sunnyvale","871","152323","572"
