"geo_id","city","cases","population","rate"
"610345","Campbell","338","42470","796"
"617610","Cupertino","113","60614","186"
"629504","Gilroy","1465","55525","2638"
"643280","Los Altos","117","30588","383"
"643294","Los Altos Hills","31","8517","364"
"644112","Los Gatos","166","30922","537"
"647766","Milpitas","520","77457","671"
"648956","Monte Sereno","19","3492","544"
"649278","Morgan Hill","591","43876","1347"
"649670","Mountain View","549","80993","678"
"0","Other/Unknown","829","0",
"655282","Palo Alto","281","67019","419"
"668000","San Jose","13438","1026658","1309"
"669084","Santa Clara","931","126209","738"
"670280","Saratoga","107","30886","346"
"677000","Sunnyvale","915","152323","601"
