"geo_id","city","cases","population","rate"
"610345","Campbell","5081","42470","11964"
"617610","Cupertino","3218","60614","5309"
"629504","Gilroy","12716","55525","22901"
"643280","Los Altos","2001","30588","6542"
"643294","Los Altos Hills","587","8517","6892"
"644112","Los Gatos","3398","30922","10989"
"647766","Milpitas","8278","77457","10687"
"648956","Monte Sereno","293","3492","8391"
"649278","Morgan Hill","7613","43876","17351"
"649670","Mountain View","6703","80993","8276"
"0","Other/Unknown","10655","0",
"655282","Palo Alto","4313","67019","6435"
"668000","San Jose","155764","1026658","15172"
"669084","Santa Clara","13021","126209","10317"
"670280","Saratoga","1897","30886","6142"
"677000","Sunnyvale","12981","152323","8522"
