"geo_id","city","cases","population","rate"
"610345","Campbell","345","42470","812"
"617610","Cupertino","112","60614","185"
"629504","Gilroy","1480","55525","2665"
"643280","Los Altos","119","30588","389"
"643294","Los Altos Hills","31","8517","364"
"644112","Los Gatos","166","30922","537"
"647766","Milpitas","529","77457","683"
"648956","Monte Sereno","19","3492","544"
"649278","Morgan Hill","594","43876","1354"
"649670","Mountain View","553","80993","683"
"0","Other/Unknown","829","0",
"655282","Palo Alto","285","67019","425"
"668000","San Jose","13550","1026658","1320"
"669084","Santa Clara","943","126209","747"
"670280","Saratoga","107","30886","346"
"677000","Sunnyvale","925","152323","607"
