"geo_id","city","cases","population","rate"
"610345","Campbell","1017","42470","2395"
"617610","Cupertino","361","60614","596"
"629504","Gilroy","4003","55525","7209"
"643280","Los Altos","339","30588","1108"
"643294","Los Altos Hills","88","8517","1033"
"644112","Los Gatos","548","30922","1772"
"647766","Milpitas","1606","77457","2073"
"648956","Monte Sereno","51","3492","1460"
"649278","Morgan Hill","1750","43876","3989"
"649670","Mountain View","1479","80993","1826"
"0","Other/Unknown","2439","0",
"655282","Palo Alto","701","67019","1046"
"668000","San Jose","37868","1026658","3688"
"669084","Santa Clara","2462","126209","1951"
"670280","Saratoga","298","30886","965"
"677000","Sunnyvale","2442","152323","1603"
