"geo_id","city","cases","population","rate"
"610345","Campbell","572","42470","1347"
"617610","Cupertino","219","60614","361"
"629504","Gilroy","2300","55525","4142"
"643280","Los Altos","186","30588","608"
"643294","Los Altos Hills","58","8517","681"
"644112","Los Gatos","299","30922","967"
"647766","Milpitas","852","77457","1100"
"648956","Monte Sereno","30","3492","859"
"649278","Morgan Hill","932","43876","2124"
"649670","Mountain View","855","80993","1056"
"0","Other/Unknown","1274","0",
"655282","Palo Alto","410","67019","612"
"668000","San Jose","21372","1026658","2082"
"669084","Santa Clara","1491","126209","1181"
"670280","Saratoga","193","30886","625"
"677000","Sunnyvale","1411","152323","926"
