"geo_id","city","cases","population","rate"
"610345","Campbell","6567","42470","15463"
"617610","Cupertino","4465","60614","7366"
"629504","Gilroy","15580","55525","28059"
"643280","Los Altos","2726","30588","8912"
"643294","Los Altos Hills","762","8517","8947"
"644112","Los Gatos","4485","30922","14504"
"647766","Milpitas","10699","77457","13813"
"648956","Monte Sereno","360","3492","10309"
"649278","Morgan Hill","9730","43876","22176"
"649670","Mountain View","8768","80993","10826"
"0","Other/Unknown","15830","0",
"655282","Palo Alto","5998","67019","8950"
"668000","San Jose","194909","1026658","18985"
"669084","Santa Clara","17526","126209","13886"
"670280","Saratoga","2528","30886","8185"
"677000","Sunnyvale","16887","152323","11086"
