"geo_id","city","cases","population","rate"
"610345","Campbell","172","42470","405"
"617610","Cupertino","62","60614","102"
"629504","Gilroy","439","55525","791"
"643280","Los Altos","64","30588","209"
"643294","Los Altos Hills","16","8517","188"
"644112","Los Gatos","72","30922","233"
"647766","Milpitas","191","77457","247"
"648956","Monte Sereno","15","3492","430"
"649278","Morgan Hill","205","43876","467"
"649670","Mountain View","166","80993","205"
"0","Other/Unknown","496","0",
"655282","Palo Alto","138","67019","206"
"668000","San Jose","5407","1026658","527"
"669084","Santa Clara","425","126209","337"
"670280","Saratoga","49","30886","159"
"677000","Sunnyvale","404","152323","265"
