"geo_id","city","cases","population","rate"
"610345","Campbell","477","42470","1123"
"617610","Cupertino","161","60614","266"
"629504","Gilroy","1831","55525","3298"
"643280","Los Altos","152","30588","497"
"643294","Los Altos Hills","45","8517","528"
"644112","Los Gatos","224","30922","724"
"647766","Milpitas","706","77457","911"
"648956","Monte Sereno","23","3492","659"
"649278","Morgan Hill","750","43876","1709"
"649670","Mountain View","701","80993","866"
"0","Other/Unknown","1041","0",
"655282","Palo Alto","351","67019","524"
"668000","San Jose","17474","1026658","1702"
"669084","Santa Clara","1249","126209","990"
"670280","Saratoga","153","30886","495"
"677000","Sunnyvale","1152","152323","756"
