"geo_id","city","cases","population","rate"
"610345","Campbell","2849","42470","6708"
"617610","Cupertino","1296","60614","2138"
"629504","Gilroy","8944","55525","16108"
"643280","Los Altos","929","30588","3037"
"643294","Los Altos Hills","313","8517","3675"
"644112","Los Gatos","1741","30922","5630"
"647766","Milpitas","4569","77457","5899"
"648956","Monte Sereno","138","3492","3952"
"649278","Morgan Hill","4843","43876","11038"
"649670","Mountain View","3863","80993","4770"
"0","Other/Unknown","4991","0",
"655282","Palo Alto","2108","67019","3145"
"668000","San Jose","96250","1026658","9375"
"669084","Santa Clara","7242","126209","5738"
"670280","Saratoga","919","30886","2975"
"677000","Sunnyvale","7194","152323","4723"
