"geo_id","city","cases","population","rate"
"610345","Campbell","1848","42470","4351"
"617610","Cupertino","788","60614","1300"
"629504","Gilroy","6993","55525","12594"
"643280","Los Altos","605","30588","1978"
"643294","Los Altos Hills","182","8517","2137"
"644112","Los Gatos","1044","30922","3376"
"647766","Milpitas","3202","77457","4134"
"648956","Monte Sereno","74","3492","2119"
"649278","Morgan Hill","3220","43876","7339"
"649670","Mountain View","2686","80993","3316"
"0","Other/Unknown","4158","0",
"655282","Palo Alto","1330","67019","1985"
"668000","San Jose","70063","1026658","6824"
"669084","Santa Clara","4723","126209","3742"
"670280","Saratoga","549","30886","1778"
"677000","Sunnyvale","4907","152323","3221"
