"geo_id","city","cases","population","rate"
"610345","Campbell","302","42470","711"
"617610","Cupertino","100","60614","165"
"629504","Gilroy","1200","55525","2161"
"643280","Los Altos","104","30588","340"
"643294","Los Altos Hills","27","8517","317"
"644112","Los Gatos","148","30922","479"
"647766","Milpitas","454","77457","586"
"648956","Monte Sereno","17","3492","487"
"649278","Morgan Hill","514","43876","1171"
"649670","Mountain View","429","80993","530"
"0","Other/Unknown","754","0",
"655282","Palo Alto","244","67019","364"
"668000","San Jose","11784","1026658","1148"
"669084","Santa Clara","835","126209","662"
"670280","Saratoga","89","30886","288"
"677000","Sunnyvale","801","152323","526"
