"geo_id","city","cases","population","rate"
"610345","Campbell","1898","42470","4469"
"617610","Cupertino","813","60614","1341"
"629504","Gilroy","7248","55525","13054"
"643280","Los Altos","631","30588","2063"
"643294","Los Altos Hills","202","8517","2372"
"644112","Los Gatos","1099","30922","3554"
"647766","Milpitas","3336","77457","4307"
"648956","Monte Sereno","78","3492","2234"
"649278","Morgan Hill","3364","43876","7667"
"649670","Mountain View","2790","80993","3445"
"0","Other/Unknown","4204","0",
"655282","Palo Alto","1360","67019","2029"
"668000","San Jose","72583","1026658","7070"
"669084","Santa Clara","4945","126209","3918"
"670280","Saratoga","584","30886","1891"
"677000","Sunnyvale","5102","152323","3349"
