"geo_id","city","cases","population","rate"
"610345","Campbell","1701","42470","4005"
"617610","Cupertino","712","60614","1175"
"629504","Gilroy","6502","55525","11710"
"643280","Los Altos","550","30588","1798"
"643294","Los Altos Hills","171","8517","2008"
"644112","Los Gatos","934","30922","3021"
"647766","Milpitas","2950","77457","3809"
"648956","Monte Sereno","70","3492","2005"
"649278","Morgan Hill","2936","43876","6692"
"649670","Mountain View","2447","80993","3021"
"0","Other/Unknown","3980","0",
"655282","Palo Alto","1222","67019","1823"
"668000","San Jose","65085","1026658","6340"
"669084","Santa Clara","4322","126209","3424"
"670280","Saratoga","502","30886","1625"
"677000","Sunnyvale","4499","152323","2954"
