"geo_id","city","cases","population","rate"
"610345","Campbell","597","42470","1406"
"617610","Cupertino","226","60614","373"
"629504","Gilroy","2393","55525","4310"
"643280","Los Altos","198","30588","647"
"643294","Los Altos Hills","62","8517","728"
"644112","Los Gatos","310","30922","1003"
"647766","Milpitas","880","77457","1136"
"648956","Monte Sereno","30","3492","859"
"649278","Morgan Hill","984","43876","2243"
"649670","Mountain View","901","80993","1112"
"0","Other/Unknown","1390","0",
"655282","Palo Alto","423","67019","631"
"668000","San Jose","22125","1026658","2155"
"669084","Santa Clara","1547","126209","1226"
"670280","Saratoga","198","30886","641"
"677000","Sunnyvale","1468","152323","964"
