"geo_id","city","cases","population","rate"
"610345","Campbell","292","42470","688"
"617610","Cupertino","96","60614","158"
"629504","Gilroy","1093","55525","1968"
"643280","Los Altos","87","30588","284"
"643294","Los Altos Hills","24","8517","282"
"644112","Los Gatos","131","30922","424"
"647766","Milpitas","427","77457","551"
"648956","Monte Sereno","17","3492","487"
"649278","Morgan Hill","478","43876","1089"
"649670","Mountain View","379","80993","468"
"0","Other/Unknown","728","0",
"655282","Palo Alto","224","67019","334"
"668000","San Jose","11011","1026658","1073"
"669084","Santa Clara","794","126209","629"
"670280","Saratoga","81","30886","262"
"677000","Sunnyvale","745","152323","489"
