"geo_id","city","cases","population","rate"
"610345","Campbell","348","42470","819"
"617610","Cupertino","116","60614","191"
"629504","Gilroy","1505","55525","2710"
"643280","Los Altos","121","30588","396"
"643294","Los Altos Hills","33","8517","387"
"644112","Los Gatos","169","30922","547"
"647766","Milpitas","536","77457","692"
"648956","Monte Sereno","19","3492","544"
"649278","Morgan Hill","607","43876","1383"
"649670","Mountain View","562","80993","694"
"0","Other/Unknown","824","0",
"655282","Palo Alto","293","67019","437"
"668000","San Jose","13740","1026658","1338"
"669084","Santa Clara","956","126209","757"
"670280","Saratoga","107","30886","346"
"677000","Sunnyvale","946","152323","621"
