"geo_id","city","cases","population","rate"
"610345","Campbell","1910","42470","4497"
"617610","Cupertino","820","60614","1353"
"629504","Gilroy","7311","55525","13167"
"643280","Los Altos","636","30588","2079"
"643294","Los Altos Hills","207","8517","2430"
"644112","Los Gatos","1107","30922","3580"
"647766","Milpitas","3356","77457","4333"
"648956","Monte Sereno","79","3492","2262"
"649278","Morgan Hill","3390","43876","7726"
"649670","Mountain View","2815","80993","3476"
"0","Other/Unknown","4228","0",
"655282","Palo Alto","1366","67019","2038"
"668000","San Jose","73320","1026658","7142"
"669084","Santa Clara","5003","126209","3964"
"670280","Saratoga","588","30886","1904"
"677000","Sunnyvale","5145","152323","3378"
