"geo_id","city","cases","population","rate"
"610345","Campbell","1803","42470","4245"
"617610","Cupertino","759","60614","1252"
"629504","Gilroy","6829","55525","12299"
"643280","Los Altos","582","30588","1903"
"643294","Los Altos Hills","180","8517","2113"
"644112","Los Gatos","1011","30922","3270"
"647766","Milpitas","3129","77457","4040"
"648956","Monte Sereno","74","3492","2119"
"649278","Morgan Hill","3134","43876","7143"
"649670","Mountain View","2623","80993","3239"
"0","Other/Unknown","4105","0",
"655282","Palo Alto","1297","67019","1935"
"668000","San Jose","68616","1026658","6683"
"669084","Santa Clara","4615","126209","3657"
"670280","Saratoga","539","30886","1745"
"677000","Sunnyvale","4780","152323","3138"
