"geo_id","city","cases","population","rate"
"610345","Campbell","416","42470","980"
"617610","Cupertino","141","60614","233"
"629504","Gilroy","1667","55525","3002"
"643280","Los Altos","131","30588","428"
"643294","Los Altos Hills","38","8517","446"
"644112","Los Gatos","197","30922","637"
"647766","Milpitas","616","77457","795"
"648956","Monte Sereno","19","3492","544"
"649278","Morgan Hill","654","43876","1491"
"649670","Mountain View","643","80993","794"
"0","Other/Unknown","907","0",
"655282","Palo Alto","322","67019","480"
"668000","San Jose","15551","1026658","1515"
"669084","Santa Clara","1121","126209","888"
"670280","Saratoga","127","30886","411"
"677000","Sunnyvale","1041","152323","683"
