"geo_id","city","cases","population","rate"
"610345","Campbell","1777","42470","4184"
"617610","Cupertino","754","60614","1244"
"629504","Gilroy","6777","55525","12205"
"643280","Los Altos","580","30588","1896"
"643294","Los Altos Hills","177","8517","2078"
"644112","Los Gatos","998","30922","3227"
"647766","Milpitas","3110","77457","4015"
"648956","Monte Sereno","72","3492","2062"
"649278","Morgan Hill","3111","43876","7090"
"649670","Mountain View","2582","80993","3188"
"0","Other/Unknown","4064","0",
"655282","Palo Alto","1289","67019","1923"
"668000","San Jose","68097","1026658","6633"
"669084","Santa Clara","4580","126209","3629"
"670280","Saratoga","536","30886","1735"
"677000","Sunnyvale","4732","152323","3107"
