"race_eth","count","percent_group","rates","percent_pop"
"African American","2113","1.84247","4450.95107","2.36"
"Asian","19306","16.83423","2946.55871","35.65"
"Latino","58235","50.7791","10647.80955","25.78"
"Native Hawaiian & Other Pacific Islander","556","0.48481","7876.46975","0.32"
"White","15238","13.28706","2272.98153","32.04"
"Other","8259","7.20159",,"3.85"
"Unknown","10976","9.57073",,
