"race_eth","count","percent_group","rates","percent_pop"
"African American","2254","1.89396","4747.962","2.36"
"Asian","20429","17.16578","3117.95545","35.65"
"Latino","59873","50.30922","10947.30491","25.78"
"Native Hawaiian & Other Pacific Islander","584","0.49072","8273.12651","0.32"
"White","16073","13.50559","2397.5346","32.04"
"Other","8615","7.23889",,"3.85"
"Unknown","11182","9.39585",,
