"race_eth","count","percent_group","rates","percent_pop"
"African American","2207","1.87546","4648.95836","2.36"
"Asian","20055","17.04227","3060.87408","35.65"
"Latino","59345","50.42999","10850.76428","25.78"
"Native Hawaiian & Other Pacific Islander","578","0.49117","8188.12863","0.32"
"White","15854","13.47236","2364.86738","32.04"
"Other","8501","7.22395",,"3.85"
"Unknown","11138","9.46481",,
