"race_eth","count","percent_group","rates","percent_pop"
"African American","1983","1.81837","4177.1112","2.36"
"Asian","17984","16.49091","2744.7898","35.65"
"Latino","55623","51.00501","10170.22599","25.78"
"Native Hawaiian & Other Pacific Islander","518","0.47499","7338.14988","0.32"
"White","14338","13.14761","2138.73272","32.04"
"Other","7829","7.17901",,"3.85"
"Unknown","10779","9.88409",,
