"race_eth","count","percent_group","rates","percent_pop"
"African American","2286","1.91949","4815.36874","2.36"
"Asian","20511","17.22253","3130.47062","35.65"
"Latino","59888","50.28633","10950.04754","25.78"
"Native Hawaiian & Other Pacific Islander","593","0.49793","8400.62332","0.32"
"White","16151","13.56156","2409.16949","32.04"
"Other","8595","7.21699",,"3.85"
"Unknown","11070","9.29518",,
