"race_eth","count","percent_group","rates","percent_pop"
"African American","1945","1.81589","4097.0657","2.36"
"Asian","17536","16.37195","2676.41425","35.65"
"Latino","54731","51.09794","10007.13084","25.78"
"Native Hawaiian & Other Pacific Islander","503","0.46961","7125.65519","0.32"
"White","14036","13.10429","2093.68479","32.04"
"Other","7694","7.18327",,"3.85"
"Unknown","10665","9.95705",,
