"race_eth","count","percent_group","rates","percent_pop"
"African American","7399","1.7092","16348.12965","2.4"
"Asian","89639","20.70701","12818.57312","37.7"
"Latino","138940","32.09577","28298.6203","26.5"
"Native Hawaiian & Other Pacific Islander","2632","0.608","42253.97335","0.3"
"White","69704","16.10194","11466.30301","32.8"
"Other","50983","11.7773","926121.70754","0.3"
"Unknown","73595","17.00078",,
