"race_eth","count","percent_group","rates","percent_pop"
"African American","430","1.66132","905.77802","2.36"
"Asian","2717","10.49724","414.67938","35.65"
"Latino","14781","57.10698","2702.58904","25.78"
"Native Hawaiian & Other Pacific Islander","128","0.49453","1813.288","0.32"
"White","2883","11.13859","430.04369","32.04"
"Other","1758","6.7921",,"3.85"
"Unknown","3186","12.30924",,
