"race_eth","count","percent_group","rates","percent_pop"
"African American","756","1.86097","1592.48415","2.36"
"Asian","5648","13.90311","862.02028","35.65"
"Latino","22847","56.24015","4177.3934","25.78"
"Native Hawaiian & Other Pacific Islander","203","0.4997","2875.76144","0.32"
"White","4983","12.26615","743.29092","32.04"
"Other","2055","5.05859",,"3.85"
"Unknown","4132","10.17133",,
