"race_eth","count","percent_group","rates","percent_pop"
"African American","330","1.8","695.1","2.36"
"Asian","1807","9.9","275.8","35.65"
"Latino","10040","55.2","1835.7","25.78"
"Native Hawaiian & Other Pacific Islander","102","0.6","1445","0.32"
"White","1926","10.6","287.3","32.04"
"Other","1255","6.9",,"3.85"
"Unknown","2730","15",,
