"race_eth","count","percent_group","rates","percent_pop"
"African American","240","1.9","505.6","2.36"
"Asian","1324","10.2","202.1","35.65"
"Latino","6860","52.9","1254.3","25.78"
"Native Hawaiian & Other Pacific Islander","81","0.6","1147.5","0.32"
"White","1459","11.3","217.6","32.04"
"Other","865","6.7",,"3.85"
"Unknown","2133","16.5",,
