"race_eth","count","percent_group","rates","percent_pop"
"African American","2227","1.8844","4691.08757","2.36"
"Asian","20196","17.08904","3082.39406","35.65"
"Latino","59527","50.36935","10884.04154","25.78"
"Native Hawaiian & Other Pacific Islander","578","0.48908","8188.12863","0.32"
"White","15949","13.4954","2379.03809","32.04"
"Other","8540","7.2262",,"3.85"
"Unknown","11164","9.44653",,
