"race_eth","count","percent_group","rates","percent_pop"
"African American","232","1.9","488.7","2.36"
"Asian","1275","10.7","194.6","35.65"
"Latino","6315","52.8","1154.6","25.78"
"Native Hawaiian & Other Pacific Islander","79","0.7","1119.1","0.32"
"White","1398","11.7","208.5","32.04"
"Other","847","7.1",,"3.85"
"Unknown","1808","15.1",,
