"race_eth","count","percent_group","rates","percent_pop"
"African American","5861","1.78544","12949.91052","2.4"
"Asian","60077","18.30132","8591.14244","37.7"
"Latino","115468","35.17513","23517.95803","26.5"
"Native Hawaiian & Other Pacific Islander","1987","0.6053","31899.18125","0.3"
"White","51693","15.74729","8503.4948","32.8"
"Other","42597","12.97637","773787.46594","0.3"
"Unknown","50583","15.40915",,
