"race_eth","count","percent_group","rates","percent_pop"
"African American","3080","1.96215","6805.2763","2.4"
"Asian","23116","14.72629","3305.63858","37.7"
"Latino","73126","46.58568","14893.94637","26.5"
"Native Hawaiian & Other Pacific Islander","797","0.50774","12794.99117","0.3"
"White","24285","15.47101","3994.88076","32.8"
"Other","15971","10.17449","290118.07448","0.3"
"Unknown","16596","10.57265",,
