"race_eth","count","percent_group","rates","percent_pop"
"African American","383","1.7","806.8","2.36"
"Asian","2364","10.4","360.8","35.65"
"Latino","13004","57.4","2377.7","25.78"
"Native Hawaiian & Other Pacific Islander","118","0.5","1671.6","0.32"
"White","2458","10.9","366.6","32.04"
"Other","1503","6.6",,"3.85"
"Unknown","2814","12.4",,
