"race_eth","count","percent_group","rates","percent_pop"
"African American","2542","2.03435","5354.62263","2.36"
"Asian","21536","17.23514","3286.9102","35.65"
"Latino","62030","49.64227","11341.69531","25.78"
"Native Hawaiian & Other Pacific Islander","629","0.50339","8910.61057","0.32"
"White","17680","14.14921","2637.24331","32.04"
"Other","9198","7.36111",,"3.85"
"Unknown","11339","9.07454",,
