"race_eth","count","percent_group","rates","percent_pop"
"African American","2639","1.9135","5558.9493","2.36"
"Asian","19778","14.34072","3018.59723","35.65"
"Latino","66732","48.38632","12201.41885","25.78"
"Native Hawaiian & Other Pacific Islander","657","0.47638","9307.26732","0.32"
"White","19445","14.09926","2900.52014","32.04"
"Other","14705","10.66236",,"3.85"
"Unknown","13959","10.12145",,
