"race_eth","count","percent_group","rates","percent_pop"
"African American","2246","1.8907","4731.11032","2.36"
"Asian","20372","17.1493","3109.25588","35.65"
"Latino","59782","50.32494","10930.66628","25.78"
"Native Hawaiian & Other Pacific Islander","581","0.48909","8230.62757","0.32"
"White","16039","13.50175","2392.46297","32.04"
"Other","8593","7.23365",,"3.85"
"Unknown","11179","9.41057",,
